"","circ_id","mmu1","mmu2","mmu3"
"154","1:16533258|16556374",5,2,NA
"155","1:16533258|16579632",1,1,5
"156","1:165429318|165436173",NA,6,15
"157","1:165432178|165436173",26,5,37
"158","1:165738856|165740918",NA,NA,2
"159","1:166209695|166216340",NA,NA,3
"160","1:16652150|16655655",4,3,NA
"161","1:16652150|16672577",NA,NA,12
"162","1:167055300|167065217",1,NA,NA
"163","1:167057461|167065217",3,NA,NA
"164","1:167062260|167065217",36,8,63
"165","1:169984492|169994517",NA,3,7
"166","1:169986319|169994517",NA,NA,2
"167","1:170614914|170627314",NA,NA,8
"168","1:170627182|170647001",NA,NA,2
"169","1:170662388|170669381",1,1,NA
"170","1:170676685|170682758",NA,NA,2
"171","1:170885013|170885259",3,NA,NA
"172","1:171679369|171679702",3,NA,NA
"173","1:171898817|171901985",NA,NA,7
"174","1:171944492|171944863",NA,2,NA
"175","1:171956197|171957554",NA,NA,1
"176","1:172001509|172015027",4,7,39
"177","1:172311847|172312537",NA,NA,2
"178","1:176695777|176702264",2,NA,NA
"179","1:176924532|176937304",1,2,NA
"180","1:176930527|176937304",NA,NA,2
"181","1:176930527|177076447",NA,2,2
"182","1:178158657|178159042",1,NA,NA
"183","1:178161451|178163723",NA,NA,2
"184","1:178506390|178506924",NA,1,NA
"185","1:178871301|178877943",NA,8,8
"186","1:178871301|178921967",NA,1,4
"187","1:179232847|179239350",NA,1,3
"188","1:179406902|179420431",NA,NA,2
"189","1:179617213|179620118",NA,2,NA
"190","1:179826926|179867765",NA,NA,12
"191","1:179936718|179941679",NA,NA,2
"192","1:180006141|180006849",NA,NA,3
"193","1:180240238|180241565",NA,NA,2
"194","1:180560730|180564415",NA,NA,2
"195","1:180560730|180566202",6,NA,14
"196","1:180561941|180566202",3,NA,NA
"197","1:180564256|180566202",2,NA,6
"198","1:180929093|180951549",NA,NA,1
"199","1:180936724|180951549",NA,NA,2
"200","1:180962356|180964495",NA,1,NA
"201","1:181010333|181030725",NA,NA,3
"202","1:181011291|181011961",2,NA,NA
"203","1:181011815|181013632",4,NA,4
"204","1:181783958|181789484",NA,NA,5
"205","1:182153818|182157548",NA,NA,1
"206","1:182681521|182686175",NA,1,NA
"207","1:183062778|183065786",6,NA,NA
"208","1:183115436|183116406",NA,2,NA
"209","1:183117373|183135483",NA,NA,1
"210","1:183132406|183135483",NA,3,NA
"211","1:183177247|183183904",NA,NA,1
"212","1:183207397|183209012",2,NA,NA
"213","1:183208885|183209604",NA,3,1
"214","1:184564772|184566225",NA,NA,4
"215","1:184564772|184573624",NA,NA,3
"216","1:184987941|184991724",NA,NA,3
"217","1:184990694|184999476",NA,NA,1
"218","1:184999097|184999476",3,10,19
"219","1:185105114|185111098",NA,2,NA
"220","1:185118442|185129464",12,4,39
"221","1:185130590|185133865",NA,NA,2
"222","1:185146526|185148148",1,NA,4
"223","1:186361079|186365007",NA,NA,5
"224","1:186362806|186382095",NA,NA,2
"225","1:186468312|186472060",4,2,13
"226","1:188706262|188710849",4,3,1
