"gene_id","gene_name"
"ENSMFUG00025028800004","novel_gene_2563_5d71f2e7"
"ENSMFUG00025009800004","novel_gene_2151_5d71f2e7"
"ENSMFUG00025015500004","novel_gene_2194_5d71f2e7"
"ENSMFUG00025010800004","novel_gene_2158_5d71f2e7"
"ENSMFUG00025000200004","novel_gene_2097_5d71f2e7"
"ENSMFUG00025030100004","novel_gene_2479_5d71f2e7"
"ENSMFUG00025029000004","novel_gene_2349_5d71f2e7"
"ENSMFUG00025010400004","novel_gene_2155_5d71f2e7"
"ENSMFUG00025031000004","novel_gene_2379_5d71f2e7"
"ENSMFUG00025007800004","novel_gene_2143_5d71f2e7"
"ENSMFUG00025032100004","novel_gene_2393_5d71f2e7"
"ENSMFUG00025026300004","novel_gene_2320_5d71f2e7"
"ENSMFUG00025031500004","novel_gene_2386_5d71f2e7"
"ENSMFUG00025017200004","novel_gene_2203_5d71f2e7"
"ENSMFUG00025002900004","novel_gene_2104_5d71f2e7"
"ENSMFUG00025005000004","novel_gene_2124_5d71f2e7"
"ENSMFUG00025033400004","novel_gene_2422_5d71f2e7"
"ENSMFUG00025032800004","novel_gene_2413_5d71f2e7"
"ENSMFUG00025022700004","novel_gene_2265_5d71f2e7"
"ENSMFUG00025032500004","novel_gene_2573_5d71f2e7"
"ENSMFUG00025019900244","novel_gene_426_5d846b90"
"ENSMFUG00025029700004","novel_gene_2365_5d71f2e7"
"ENSMFUG00017076000004","novel_gene_895_5d71f2e7"
"ENSMFUG00017088700004","novel_gene_1145_5d71f2e7"
"ENSMFUG00017043400004","novel_gene_351_5d71f2e7"
"ENSMFUG00017009700004","novel_gene_78_5d71f2e7"
"ENSMFUG00017014900004","novel_gene_121_5d71f2e7"
"ENSMFUG00017087000004","novel_gene_1117_5d71f2e7"
"ENSMFUG00017084100004","novel_gene_1882_5d71f2e7"
"ENSMFUG00017006300004","novel_gene_48_5d71f2e7"
"ENSMFUG00017075800004","novel_gene_893_5d71f2e7"
"ENSMFUG00017020600004","novel_gene_162_5d71f2e7"
"ENSMFUG00017076100004","novel_gene_1877_5d71f2e7"
"ENSMFUG00017056100004","novel_gene_462_5d71f2e7"
"ENSMFUG00017075500004","novel_gene_200_5d769ab4"
"ENSMFUG00017072400004","novel_gene_805_5d71f2e7"
"ENSMFUG00017076200244","novel_gene_1682_5d71f2e7"
"ENSMFUG00017040200004","novel_gene_317_5d71f2e7"
"ENSMFUG00017057200004","novel_gene_523_5d71f2e7"
"ENSMFUG00017016900004","novel_gene_139_5d71f2e7"
"ENSMFUG00017102100004","novel_gene_1353_5d71f2e7"
"ENSMFUG00017038700004","novel_gene_1451_5d71f2e7"
"ENSMFUG00017100100004","novel_gene_1328_5d71f2e7"
"ENSMFUG00017102500004","novel_gene_1360_5d71f2e7"
"ENSMFUG00017076600004","novel_gene_897_5d71f2e7"
"ENSMFUG00017074400004","novel_gene_856_5d71f2e7"
"ENSMFUG00017084700004","novel_gene_1085_5d71f2e7"
"ENSMFUG00017042800004","novel_gene_341_5d71f2e7"
"ENSMFUG00017079800004","novel_gene_982_5d71f2e7"
"ENSMFUG00017045500004","novel_gene_1457_5d71f2e7"
"ENSMFUG00017064800004","novel_gene_617_5d71f2e7"
"ENSMFUG00017076300244","novel_gene_321_5d846b90"
