"gene_id","gene_name"
"ENSMPIG00001025100244","novel_gene_2283_627a1eab"
"ENSMPIG00001130700244","novel_gene_2441_627a1eab"
"ENSMPIG00001022806153","novel_gene_2279_627a1eab"
"ENSMPIG00001000500244","novel_gene_10_627a1eab"
"ENSMPIG00001024400114","novel_gene_663_627a1eab"
"ENSMPIG00001103002243","novel_gene_2345_627a1eab"
"ENSMPIG00001028100244","novel_gene_2286_627a1eab"
"ENSMPIG00001061200244","novel_gene_505_62831269"
"ENSMPIG00001057900244","novel_gene_2320_627a1eab"
"ENSMPIG00001052500244","novel_gene_527_62831269"
"ENSMPIG00001096400244","novel_gene_530_62831269"
"ENSMPIG00001086800174","novel_gene_1579_627a1eab"
"ENSMPIG00001031400174","novel_gene_773_627a1eab"
"ENSMPIG00001011900244","novel_gene_486_62831269"
"ENSMPIG00001096800244","novel_gene_2341_627a1eab"
"ENSMPIG00001027400244","novel_gene_2392_627a1eab"
"ENSMPIG00001022900244","novel_gene_2280_627a1eab"
"ENSMPIG00001054300244","novel_gene_2402_627a1eab"
"ENSMPIG00001003400244","novel_gene_2383_627a1eab"
"ENSMPIG00001086701173","novel_gene_2215_627a1eab"
"ENSMPIG00001022300174","novel_gene_606_627a1eab"
"ENSMPIG00001009400244","novel_gene_483_62831269"
"ENSMPIG00001130606241","novel_gene_2440_627a1eab"
"ENSMPIG00001026700084","novel_gene_2391_627a1eab"
"ENSMPIG00001000700244","novel_gene_2246_627a1eab"
"ENSMPIG00001027500244","novel_gene_520_62831269"
"ENSMPIG00001002002243","novel_gene_2249_627a1eab"
"ENSMPIG00001026100174","novel_gene_694_627a1eab"
"ENSMPIG00001036500244","novel_gene_522_62831269"
"ENSMPIG00001010000244","novel_gene_485_62831269"
"ENSMPIG00001026500174","novel_gene_702_627a1eab"
"ENSMPIG00001002600244","novel_gene_79_627a1eab"
"ENSMPIG00001096900244","novel_gene_512_62831269"
"ENSMPIG00001124100244","novel_gene_2438_627a1eab"
"ENSMPIG00001103300154","novel_gene_1817_627a1eab"
"ENSMPIG00001007000174","novel_gene_187_627a1eab"
"ENSMPIG00001058000244","novel_gene_503_62831269"
"ENSMPIG00001053000244","novel_gene_501_62831269"
"ENSMPIG00001002100244","novel_gene_479_62831269"
"ENSMPIG00001014100244","novel_gene_2384_627a1eab"
"ENSMPIG00001040400164","novel_gene_952_627a1eab"
