"","circ_id","mma1","mma2","mma3"
"152","1:198033058|198036180",NA,33,102
"153","1:198304524|198304888",2,NA,NA
"154","1:198334211|198336144",2,NA,NA
"155","1:198549359|198556103",NA,24,NA
"156","1:198766054|198766560",NA,36,31
"157","1:198975367|198975894",4,NA,NA
"158","1:201352694|201353456",NA,NA,14
"159","1:201727466|201736663",17,NA,NA
"160","1:201727466|201756911",2,36,31
"161","1:203018950|203022387",1,NA,NA
"162","1:203038116|203051810",1,NA,NA
"163","1:203712359|203745740",10,NA,NA
"164","1:203712359|203766575",3,NA,NA
"165","1:203712359|203837704",6,NA,NA
"166","1:203733632|203734534",8,7,NA
"167","1:203733632|203745740",NA,43,12
"168","1:203766466|203775405",3,NA,NA
"169","1:203851244|203883398",6,NA,NA
"170","1:203930079|203955250",9,NA,NA
"171","1:203937254|203955250",6,NA,NA
"172","1:204061415|204061900",69,NA,16
"173","1:204069478|204070720",6,NA,NA
"174","1:205519930|205546463",6,NA,NA
"175","1:205548026|205550203",NA,NA,17
"176","1:205813877|205815287",6,NA,NA
"177","1:2085707|2091882",NA,13,NA
"178","1:208839914|208840785",7,NA,NA
"179","1:208862383|208869035",NA,NA,19
"180","1:208867370|208869035",1,NA,NA
"181","1:208900898|208904753",NA,NA,31
"182","1:209018992|209021850",NA,NA,13
"183","1:209145693|209163263",4,NA,NA
"184","1:209152494|209166352",8,NA,NA
"185","1:211138421|211148153",12,22,18
"186","1:211872299|211872992",1,NA,NA
"187","1:2119314|2120627",4,NA,NA
"188","1:2119314|2140639",10,NA,NA
"189","1:2119314|2147236",7,NA,NA
"190","1:212062551|212063624",NA,NA,6
"191","1:212062551|212086281",6,NA,NA
"192","1:212128126|212134014",NA,NA,31
"193","1:212182145|212202647",NA,NA,21
"194","1:2122455|2140639",NA,NA,47
"195","1:212461586|212464708",3,NA,NA
"196","1:213433939|213435604",4,NA,NA
"197","1:214049678|214059551",7,NA,NA
"198","1:214092601|214096199",NA,NA,11
"199","1:214111744|214119642",6,NA,NA
"200","1:214114839|214119642",3,NA,NA
"201","1:2141249|2150725",11,NA,NA
"202","1:214135737|214136755",4,NA,NA
"203","1:214140817|214169386",2,NA,NA
"204","1:214164199|214170349",NA,8,NA
"205","1:214534646|214538279",NA,NA,18
"206","1:214753141|214753368",NA,NA,27
"207","1:214920378|214925959",13,NA,NA
"208","1:2158100|2159925",2,NA,NA
"209","1:215862152|215862621",4,1,NA
"210","1:215904332|215978414",13,NA,NA
"211","1:215962967|215978414",9,NA,NA
"212","1:215962967|216024678",15,NA,NA
"213","1:216534062|216541797",1,NA,NA
"214","1:220645897|220649781",2,NA,NA
"215","1:222237211|222243206",8,NA,NA
"216","1:222607054|222616589",8,NA,NA
"217","1:222607054|222628995",1,NA,NA
"218","1:222616482|222628995",NA,39,23
"219","1:222616482|222643738",NA,52,NA
"220","1:222671265|222680696",10,NA,NA
"221","1:222711168|222722938",3,NA,NA
"222","1:23382803|23383926",14,56,NA
"223","1:2473228|2473658",NA,NA,11
"224","1:24737295|24749726",7,NA,NA
"225","1:2517871|2518825",1,NA,NA
"226","1:25299229|25324883",33,NA,NA
"227","1:25313797|25324883",2,NA,NA
"228","1:25388948|25395765",11,NA,NA
"229","1:25645687|25651513",3,NA,NA
"230","1:28854661|28864263",24,NA,NA
"231","1:29341297|29356667",13,NA,NA
"232","1:31253323|31266963",3,NA,NA
"233","1:31600775|31894918",2,NA,NA
"234","1:33338220|33342615",3,NA,NA
"235","1:33338220|33391747",9,NA,NA
"236","1:33419607|33440786",5,NA,NA
"237","1:36246555|36257384",4,NA,NA
"238","1:36323228|36324912",3,NA,NA
"239","1:36334777|36336826",4,NA,NA
"240","1:37096948|37098268",NA,25,NA
"241","1:37222210|37254939",4,NA,19
"242","1:37294464|37302474",1,NA,NA
"243","1:37595323|37611137",1,NA,NA
"244","1:37595323|37627945",3,NA,NA
"245","1:40129405|40130796",NA,30,NA
"246","1:41967064|41972291",2,NA,NA
"247","1:41972136|41973007",NA,NA,4
"248","1:41972841|41979633",7,51,1
"249","1:42390118|42399328",1,NA,NA
"250","1:42408306|42414024",NA,NA,14
"251","1:42421864|42422606",13,NA,NA
"252","1:42447185|42466483",2,NA,NA
"253","1:42458665|42477583",NA,33,NA
"254","1:43553992|43556961",1,NA,NA
"255","1:43627748|43639211",4,NA,NA
"256","1:44127338|44128539",10,NA,NA
"257","1:4697642|4699457",3,NA,NA
"258","1:50372896|50379488",NA,NA,9
"259","1:50551071|50554272",12,NA,NA
"260","1:5279767|5487483",3,NA,NA
"261","1:54508845|54530647",2,NA,NA
"262","1:54586218|54587419",6,NA,NA
"263","1:54934648|55058352",7,NA,NA
"264","1:54934648|55179136",4,NA,NA
"265","1:54980079|55019914",5,NA,NA
"266","1:54980079|55058352",17,NA,NA
"267","1:54980079|55179136",44,NA,NA
"268","1:54997399|55058352",9,NA,NA
"269","1:55009288|55179136",6,NA,NA
"270","1:55019813|55058352",NA,NA,15
"271","1:55043063|55058352",51,NA,121
"272","1:55043063|55179136",44,26,NA
"273","1:5709773|5720573",10,34,NA
"274","1:59277212|59285049",4,NA,NA
"275","1:5946182|5968819",1,NA,NA
"276","1:59711014|59715536",4,NA,NA
"277","1:60194348|60200429",3,NA,NA
"278","1:61624110|61625301",NA,18,NA
"279","1:63142708|63143581",6,NA,NA
"280","1:64542132|64542318",8,NA,NA
"281","1:64843619|64849739",1,NA,NA
"282","1:65260317|65274216",NA,NA,9
"283","1:65587964|65592054",5,NA,NA
"284","1:67209648|67211889",3,NA,NA
"285","1:68424765|68425195",2,NA,NA
"286","1:69165513|69172441",NA,NA,27
"287","1:69273875|69288390",5,NA,NA
"288","1:70570447|70637396",13,NA,NA
"289","1:71775459|71794512",1,NA,NA
"290","1:71820751|71842455",1,NA,NA
"291","1:77529808|77530042",2,NA,26
"292","1:81707938|81738710",NA,NA,9
"293","1:81725953|81738710",6,NA,NA
"294","1:83382159|83382343",NA,5,1
"295","1:83521282|83521775",1,NA,NA
"296","1:84578982|84615991",9,NA,NA
"297","1:88454964|88468595",8,NA,NA
"298","1:89076795|89197576",2,NA,NA
"299","1:89126568|89197576",6,NA,NA
"300","1:89168794|89197576",5,NA,NA
"301","1:89196389|89197576",4,NA,NA
"302","1:90606362|90626291",3,NA,NA
"303","1:95066750|95067232",1,NA,NA
"304","1:95090943|95091437",1,NA,NA
"305","1:95215800|95222227",3,NA,NA
"306","1:95216830|95220231",NA,NA,10
"307","1:95234311|95241206",4,NA,NA
"308","1:95266098|95266761",1,NA,17
"309","1:95319285|95322602",2,NA,4
"310","1:95319285|95324112",1,NA,NA
"311","1:95319285|95329440",5,NA,15
"312","1:95490375|95490894",NA,NA,31
"313","1:95557817|95580368",7,NA,25
"314","1:95557817|95601162",9,41,NA
"315","1:95557817|95616151",21,NA,NA
"316","1:95579626|95580368",NA,NA,45
"317","1:95579626|95601162",3,NA,NA
"318","1:95600982|95601162",NA,32,NA
"319","1:95600982|95616151",5,NA,1
"320","1:95600982|95632900",NA,NA,44
"321","1:95838685|95838924",NA,NA,5
"322","1:95838685|95839103",NA,NA,9
"323","1:96816928|96817632",3,54,NA
"324","1:96827841|96829276",7,NA,NA
"325","1:99434539|99461753",3,NA,NA
"326","1:99444265|99444458",4,NA,NA
"327","1:99672251|99675267",6,NA,23
"328","1:99679112|99680781",7,NA,NA
"329","1:99696738|99697462",1,NA,NA
"330","1:99786708|99787645",2,129,48
"331","1:99845386|99846956",14,NA,NA
"332","1:99944021|99944501",16,NA,NA
"333","10:10342716|10344277",4,NA,28
"334","10:10363488|10364003",NA,30,NA
"335","10:10363488|10375578",NA,NA,5
"336","10:10367233|10393954",2,NA,NA
"337","10:10387936|10404341",2,NA,NA
"338","10:10653648|10669100",6,NA,NA
"339","10:11165785|11166564",12,NA,NA
"340","10:13070818|13075494",3,NA,NA
"341","10:13074135|13075494",4,NA,NA
"342","10:13553836|13554308",NA,NA,16
"343","10:13599873|13604959",NA,NA,26
"344","10:14085313|14085467",NA,26,NA
"345","10:15084184|15088947",7,NA,NA
"346","10:15258110|15259794",NA,NA,13
"347","10:1653907|1672195",1,NA,NA
"348","10:1653907|1682166",3,NA,NA
"349","10:1697818|1699870",13,NA,NA
"350","10:18635688|18639876",NA,NA,8
"351","10:19028765|19029060",14,88,48
"352","10:19773442|19773967",12,NA,NA
"353","10:19773442|19788114",NA,NA,10
"354","10:19866777|19869485",7,NA,NA
"355","10:20041972|20043016",6,NA,NA
"356","10:20061822|20063932",NA,38,NA
"357","10:20084739|20103356",NA,NA,9
"358","10:20110961|20111137",1,NA,NA
"359","10:21548147|21567995",3,NA,NA
"360","10:21708257|21718219",1,NA,NA
"361","10:21885162|21889030",1,NA,NA
"362","10:22060002|22060202",10,NA,NA
"363","10:22422719|22426774",19,30,NA
"364","10:23665622|23669009",18,NA,NA
"365","10:23665622|23689803",8,NA,NA
"366","10:27958926|27970367",2,NA,NA
"367","10:28893864|28900185",6,NA,16
"368","10:28893864|28916737",44,NA,NA
"369","10:28897860|28900185",NA,32,NA
"370","10:28897860|28916737",11,NA,NA
"371","10:28925366|28957803",1,NA,NA
"372","10:28940499|28957803",2,NA,NA
"373","10:31132655|31134961",5,NA,NA
"374","10:31132655|31141544",30,NA,NA
"375","10:31132655|31151619",7,NA,NA
"376","10:31132655|31173032",20,NA,NA
"377","10:31151070|31173032",NA,36,NA
"378","10:31235021|31246984",1,NA,NA
"379","10:31259819|31262181",9,NA,NA
"380","10:31730122|31730588",45,113,59
"381","10:32032187|32044749",2,NA,NA
"382","10:33562909|33580560",2,NA,NA
"383","10:41157591|41185919",NA,44,NA
"384","10:41176242|41189482",3,NA,NA
"385","10:43100950|43125733",NA,NA,7
"386","10:46518613|46523860",NA,35,NA
"387","10:48354374|48355090",3,NA,NA
"388","10:48551377|48552861",NA,NA,26
"389","10:50122138|50148365",1,NA,NA
"390","10:54606031|54607536",NA,NA,17
"391","10:5761999|5773054",NA,NA,4
"392","10:5922958|5925258",NA,13,NA
"393","10:60535098|60545421",1,NA,NA
"394","10:62568413|62568667",NA,NA,23
"395","10:6333509|6334172",2,NA,NA
"396","10:63537245|63538178",16,56,NA
"397","10:66058694|66066450",NA,NA,6
"398","10:66774206|66774778",4,21,NA
"399","10:67605256|67607989",NA,NA,15
"400","10:67963089|67963341",20,NA,NA
"401","10:68793081|68793323",4,NA,NA
"402","10:68806875|68813958",6,NA,NA
"403","10:68808514|68808768",2,NA,NA
"404","10:69277563|69279786",NA,11,NA
"405","10:69614634|69620455",2,NA,NA
"406","10:69680132|69682118",NA,36,NA
"407","10:69691767|69694918",1,NA,NA
"408","10:69983162|69994087",3,NA,NA
"409","10:70726409|70726862",10,NA,NA
"410","10:70947168|70948380",5,NA,NA
"411","10:71042010|71101778",1,NA,NA
"412","10:71085482|71101778",2,NA,NA
"413","10:71101390|71110114",8,NA,NA
"414","10:72442858|72443052",NA,NA,9
"415","10:72463372|72482283",NA,36,NA
"416","10:73102714|73105087",5,NA,NA
"417","10:73322623|73331377",6,NA,NA
"418","10:76337077|76345484",NA,NA,9
"419","10:76353719|76363234",NA,NA,47
"420","10:76360097|76378737",NA,44,NA
"421","10:76776685|76796924",3,NA,NA
"422","10:76796403|76813557",16,NA,NA
"423","10:7820797|7862512",3,NA,NA
"424","10:79729708|79730801",6,NA,NA
"425","10:79732737|79739154",4,NA,NA
"426","10:80220407|80261579",NA,24,NA
"427","10:80223842|80229946",6,NA,NA
"428","10:81255046|81272147",2,NA,NA
"429","10:82415705|82431640",3,NA,NA
"430","10:82422265|82431640",7,NA,NA
"431","10:82441230|82441740",NA,NA,20
"432","10:82471338|82490613",6,NA,NA
"433","10:82476890|82506214",NA,NA,25
"434","10:82832637|82836226",6,NA,NA
"435","10:82881303|82887947",NA,16,NA
"436","10:83846786|83895719",NA,NA,28
"437","10:83932589|83952678",7,NA,NA
"438","10:84153088|84168949",3,NA,NA
"439","10:84188874|84189274",7,NA,NA
"440","10:84258637|84264157",5,NA,NA
"441","10:84267942|84273257",NA,NA,34
"442","10:84287142|84289953",NA,35,NA
"443","10:84289855|84294385",6,NA,NA
"444","10:84352519|84374082",6,NA,NA
"445","10:84364806|84365095",NA,NA,23
"446","10:84863024|84867020",2,NA,NA
"447","10:84863024|84869947",4,NA,NA
"448","10:85075466|85085205",1,NA,NA
"449","10:85358713|85361673",NA,NA,26
"450","10:8640218|8656716",7,NA,NA
"451","10:8671526|8672530",NA,NA,22
"452","10:9084405|9084735",12,249,NA
"453","10:9084405|9086709",32,NA,NA
"454","10:9285401|9291092",6,NA,NA
"455","10:93588772|93610984",4,NA,NA
"456","10:93604559|93610984",2,NA,NA
"457","10:93608840|93610984",9,NA,NA
"458","10:97266963|97273038",NA,46,NA
"459","10:97451594|97452058",3,NA,NA
"460","10:98403327|98404848",17,NA,15
"461","10:98809957|98815960",9,NA,NA
"462","10:99005869|99006836",NA,NA,10
"463","10:99208859|99243107",8,NA,NA
"464","11:100038847|100041707",13,19,NA
"465","11:101545514|101562932",3,NA,NA
"466","11:101559793|101572528",7,NA,NA
"467","11:101559793|101578134",2,NA,NA
"468","11:10178190|10181248",NA,NA,12
"469","11:101830418|101836645",7,14,NA
"470","11:103685430|103686560",14,NA,NA
"471","11:103690299|103691197",10,NA,NA
"472","11:103826699|103835514",NA,NA,16
"473","11:1047254|1048075",15,NA,NA
"474","11:1047254|1483720",NA,NA,17
"475","11:10807384|10807890",2,NA,NA
"476","11:108154267|108155669",1,NA,NA
"477","11:108155556|108160907",1,NA,NA
"478","11:10829423|10831456",4,NA,NA
"479","11:108421662|108422209",3,NA,NA
"480","11:108768048|108768710",9,NA,NA
"481","11:108796961|108801038",17,NA,NA
"482","11:108796961|108805006",11,NA,NA
"483","11:108796961|108828084",NA,NA,22
"484","11:108800899|108825691",NA,NA,33
"485","11:108831968|108865179",NA,NA,21
"486","11:108847130|108852582",3,NA,27
"487","11:108856090|108856393",4,NA,44
"488","11:108861986|108862391",33,34,181
"489","11:108861986|108880423",5,NA,16
"490","11:108861986|108886791",4,34,NA
"491","11:109587792|109610758",2,NA,NA
"492","11:111123073|111124083",2,NA,NA
"493","11:111137248|111177448",4,NA,NA
"494","11:111157833|111159379",NA,1,NA
"495","11:111176410|111177448",5,NA,NA
"496","11:111180189|111186894",4,NA,NA
"497","11:111338122|111350328",NA,NA,16
"498","11:111343289|111350328",13,NA,NA
"499","11:111770788|111773865",5,NA,NA
"500","11:111889161|111891601",NA,32,NA
"501","11:1127743|1201727",2,NA,NA
"502","11:112817342|112817703",8,NA,NA
"503","11:115819521|115834281",8,NA,NA
"504","11:117821540|117824500",NA,NA,25
"505","11:1192242|1201727",8,28,NA
"506","11:120355572|120355973",4,12,10
"507","11:120592712|120594673",9,NA,NA
"508","11:121061221|121062312",2,NA,NA
"509","11:121664882|121665377",4,NA,NA
"510","11:121985702|121986135",NA,NA,19
"511","11:122068700|122070899",5,NA,NA
"512","11:122188127|122189072",7,NA,24
"513","11:122224248|122224820",3,NA,NA
"514","11:122429746|122432834",10,NA,NA
"515","11:122447957|122475520",NA,NA,16
"516","11:122655709|122676083",NA,NA,29
"517","11:122832636|122833324",NA,NA,25
"518","11:123039278|123050015",2,NA,NA
"519","11:123179169|123185897",1,NA,NA
"520","11:123184002|123185897",1,NA,NA
"521","11:123226542|123237344",1,NA,NA
"522","11:123476124|123479781",24,41,83
"523","11:124265117|124275896",NA,NA,14
"524","11:124321803|124332273",3,NA,NA
"525","11:124698981|124728842",6,NA,NA
"526","11:124722156|124728842",NA,NA,32
"527","11:124830334|124831474",1,NA,NA
"528","11:124831081|124831309",4,NA,NA
"529","11:124885823|124887674",NA,NA,23
"530","11:127386498|127391452",NA,35,NA
"531","11:128656188|128673148",25,NA,NA
"532","11:13142910|13245266",2,NA,NA
"533","11:131578283|131616054",NA,NA,15
"534","11:13231045|13231210",6,NA,NA
"535","11:13245131|13261460",NA,NA,11
"536","11:13515103|13527444",1,NA,NA
"537","11:13623751|13624145",10,NA,NA
"538","11:13860681|13874963",2,NA,NA
"539","11:15825238|15826800",6,NA,NA
"540","11:15825238|15848777",19,NA,NA
"541","11:15862195|15868248",4,NA,NA
"542","11:1832443|1832700",4,NA,NA
"543","11:19770371|19821928",5,NA,NA
"544","11:19970508|19974834",3,NA,NA
"545","11:20877659|20888785",12,NA,NA
"546","11:23594678|23633282",NA,NA,11
"547","11:23831654|23850304",2,NA,NA
"548","11:27947122|27974066",9,NA,NA
"549","11:28302494|28303353",3,49,1
"550","11:28688835|28700301",7,NA,NA
"551","11:28963144|28969857",3,NA,NA
"552","11:29691458|29719779",4,NA,NA
"553","11:32413241|32417639",3,NA,NA
"554","11:32828558|32841042",1,NA,NA
"555","11:33711812|33723752",2,NA,NA
"556","11:33723568|33729514",3,NA,NA
"557","11:33749148|33759475",7,NA,NA
"558","11:33862144|33871282",4,NA,NA
"559","11:33862144|33892815",8,NA,NA
"560","11:33867186|33874923",1,NA,NA
"561","11:405123|415703",3,NA,NA
"562","11:41490101|41506212",12,NA,NA
