"gene_id","circ_mpi1","circ_mpi2","circ_mpi3","mpi1","mpi2","mpi3"
"ENSMPIG00005127024243",98,100,68,2009,2547,1863
"ENSMPIG00005136722243",56,56,72,2429,2256,1865
"ENSMPIG00005137500244",22,14,5,0,0,0
"ENSMPIG00005137621243",22,14,5,0,0,0
"ENSMPIG00005137700244",22,14,5,0,0,0
"ENSMPIG00006017522223",2,5,6,1375,1799,2087
"ENSMPIG00006023100244",14,29,37,0,0,0
"ENSMPIG00006025324241",12,10,10,740,961,824
"ENSMPIG00006026223233",74,94,57,1802,1555,1178
"ENSMPIG00006027923243",75,75,41,978,998,1495
"ENSMPIG00006031703243",10,7,9,15,32,12
"ENSMPIG00006035022243",22,26,12,5553,4639,5595
"ENSMPIG00006040024241",4,9,11,1205,1185,1089
"ENSMPIG00006041201243",9,13,4,0,0,0
"ENSMPIG00006041400244",9,13,4,0,0,0
"ENSMPIG00006048921243",59,87,34,316,294,272
"ENSMPIG00006050900244",28,36,29,0,0,0
"ENSMPIG00006055100244",5,4,4,0,0,0
"ENSMPIG00006056621243",2,3,14,4635,4352,2830
"ENSMPIG00006061609243",17,14,18,0,0,0
"ENSMPIG00006061700244",17,14,18,0,0,0
"ENSMPIG00007012923243",5,6,9,21482,16953,17572
"ENSMPIG00007015122243",140,149,78,3082,2362,1915
"ENSMPIG00007019023233",83,95,76,4321,3980,3077
"ENSMPIG00007031022243",17,22,14,735,1245,427
"ENSMPIG00007032823233",33,71,40,252,403,363
"ENSMPIG00007038500244",52,20,25,0,0,0
"ENSMPIG00007048924241",15,13,14,357,403,353
"ENSMPIG00007052424241",13,8,5,259,306,232
"ENSMPIG00007057524241",14,7,2,945,1040,1104
"ENSMPIG00007062000244",76,96,68,0,0,0
"ENSMPIG00007069424241",6,7,16,1512,1913,1760
"ENSMPIG00007074124241",5,10,6,941,1356,1101
"ENSMPIG00007079423243",40,60,35,2532,2538,2592
"ENSMPIG00007080300234",16,13,24,0,0,0
"ENSMPIG00007082100244",476,1502,1205,21,10,9
"ENSMPIG00007085000244",7,23,6,171,124,154
"ENSMPIG00007085200244",7,23,6,0,0,0
"ENSMPIG00007087624241",54,44,71,2805,2561,2303
"ENSMPIG00008013124241",107,179,126,2926,3023,2799
"ENSMPIG00008018300244",12,28,6,0,0,0
"ENSMPIG00008019522223",13,6,11,678,618,431
"ENSMPIG00008021124241",229,82,285,3887,4138,2999
"ENSMPIG00008026023233",15,44,29,912,871,883
"ENSMPIG00008031306243",17,7,20,7284,6824,4886
"ENSMPIG00008032524241",34,50,27,6249,5393,4264
"ENSMPIG00008033923243",13,5,4,315,262,272
"ENSMPIG00008037922243",2,11,32,4959,4727,5001
"ENSMPIG00008039123243",7,18,12,10242,8924,6761
"ENSMPIG00008044400244",13,29,16,0,0,0
"ENSMPIG00008045224241",2,9,9,297,327,299
"ENSMPIG00008053924241",31,37,11,1605,1908,2110
"ENSMPIG00008059023233",118,126,470,2097,1822,1813
"ENSMPIG00008063021243",31,84,37,5271,4951,4017
"ENSMPIG00008074500244",157,178,172,0,0,0
"ENSMPIG00008074600244",157,178,172,0,0,0
"ENSMPIG00008077200244",4,12,21,0,0,0
"ENSMPIG00008083524241",29,31,30,2344,1872,1714
"ENSMPIG00009008500244",12,23,12,0,0,0
"ENSMPIG00009008600244",12,23,12,0,0,0
"ENSMPIG00009009902241",5,8,2,77,67,21
"ENSMPIG00009010000244",5,8,2,0,0,0
"ENSMPIG00009010100244",5,8,2,0,0,0
"ENSMPIG00009010200244",18,18,22,0,0,0
"ENSMPIG00009010400244",18,18,22,0,0,0
"ENSMPIG00009011900244",25,70,38,0,0,0
"ENSMPIG00009012000244",25,70,38,0,0,0
"ENSMPIG00009017423233",4435,5860,6054,2919,2556,3494
"ENSMPIG00009019800244",12,15,9,0,0,0
"ENSMPIG00009019900244",12,15,9,0,0,0
"ENSMPIG00009020000244",32,26,38,0,0,0
"ENSMPIG00009021523243",9,3,12,77,59,96
"ENSMPIG00009021619243",10,8,6,1537,1370,2255
"ENSMPIG00009037923243",14,19,16,1637,1504,1299
"ENSMPIG00010002600244",7,39,16,2,1,2
"ENSMPIG00010002701243",7,39,16,0,0,0
"ENSMPIG00010007808243",55,91,129,0,0,0
"ENSMPIG00010007900244",55,91,129,0,0,1
"ENSMPIG00010008001243",10,20,6,2,2,0
"ENSMPIG00010009200244",24,41,19,438,511,453
"ENSMPIG00010011024241",214,333,642,634,748,696
"ENSMPIG00010019124241",39,68,43,2180,3587,2944
"ENSMPIG00010029124241",106,142,61,655,884,742
"ENSMPIG00010033523243",11,11,8,661,693,750
"ENSMPIG00010035723243",7,8,13,1279,1169,1122
"ENSMPIG00010043924241",11,8,1,20960,16932,6065
"ENSMPIG00010053223243",22,23,20,5775,6979,6424
"ENSMPIG00010064520243",13,14,9,2399,2073,2180
"ENSMPIG00010065324241",4,9,1,3171,4182,3122
"ENSMPIG00010071024241",4,13,35,2366,2561,2372
"ENSMPIG00010082015243",154,77,53,1846,1834,884
"ENSMPIG00010083600244",244,343,197,0,0,0
"ENSMPIG00010084500244",47,55,51,0,0,0
"ENSMPIG00010084700244",47,55,51,0,4,2
"ENSMPIG00010086123243",7,6,28,423,386,341
"ENSMPIG00011004500244",15,4,6,1376,115,738
"ENSMPIG00011004619243",23,9,5,5743,6792,2787
"ENSMPIG00011005024241",24,34,38,8044,8463,4073
"ENSMPIG00011005921243",61,72,60,0,0,0
"ENSMPIG00011006000244",61,72,60,12,12,8
"ENSMPIG00011007500244",13,6,7,1,0,2
"ENSMPIG00011007600244",13,6,7,0,0,0
"ENSMPIG00011009900224",4,3,8,0,7,0
"ENSMPIG00011010100224",4,3,8,0,0,0
"ENSMPIG00011012224241",50,79,71,4625,5266,3871
"ENSMPIG00011015516233",6,2,2,3906,3919,2917
"ENSMPIG00011026123243",28,62,34,2128,2430,1768
"ENSMPIG00011037023243",18,14,2,3021,2373,1603
"ENSMPIG00011045724241",29,8,63,1636,1507,907
