"","circ_id","mpi1","mpi2","mpi3"
"103","scaffold0001:127642581|127658369","10.000","41.000","30.000"
"104","scaffold0001:127642581|127659204","2.000","4.000","1.000"
"105","scaffold0001:127680594|127687817","1.000","23.000","9.000"
"106","scaffold0001:127975613|127977748","73.000","106.000","55.000"
"107","scaffold0001:127975613|127991019","6.000","7.000","9.000"
"108","scaffold0001:128373083|128385463","5.000","2.000","1.000"
"109","scaffold0001:129934719|129947171","18.000","18.000","5.000"
"110","scaffold0001:130894761|130894902","6.000","7.000","6.000"
"111","scaffold0001:130894761|130901439","2.000","6.000","6.000"
"112","scaffold0001:130894761|130907439","43.000","39.000","32.000"
"113","scaffold0001:130894761|130909947","61.000","127.000","80.000"
"114","scaffold0001:130894761|130936361","10.000","13.000","9.000"
"115","scaffold0001:130959980|130965996","10.000","5.000","5.000"
"116","scaffold0001:131037644|131047708","3.000","11.000","7.000"
"117","scaffold0001:131047382|131047708","499.000","696.000","478.000"
"118","scaffold0001:131047443|131047708","89.000","127.000","79.000"
"119","scaffold0001:132491412|132493314","37.000","25.000","22.000"
"120","scaffold0001:132742113|132761787","7.000","1.000","3.000"
"121","scaffold0001:132899165|132905086","1.000","13.000","3.000"
"122","scaffold0001:134845256|134863922","6.000","4.000","2.000"
"123","scaffold0001:134858795|134860652","12.000","47.000","29.000"
"124","scaffold0001:135619079|135636636","5.000","13.000","4.000"
"125","scaffold0001:135619079|135645544","2.000","5.000","3.000"
"126","scaffold0001:135631281|135636636","2.000","6.000","3.000"
"127","scaffold0001:135788150|135801926","10.000","3.000","3.000"
"128","scaffold0001:135825647|135830169","11.000","10.000","18.000"
"129","scaffold0001:135845539|135852014","6.000","6.000","5.000"
"130","scaffold0001:135867472|135869069","6.000","9.000","9.000"
"131","scaffold0001:135951570|135955310","3.000","4.000","20.000"
"132","scaffold0001:136085219|136091126","5.000","9.000","4.000"
"133","scaffold0001:136107219|136108931","19.000","7.000","11.000"
"134","scaffold0001:136107219|136112728","3.000","9.000","11.000"
"135","scaffold0001:136975285|136978985","6.000","19.000","3.000"
"136","scaffold0001:1379861|1382392","5.000","4.000","1.000"
"137","scaffold0001:138276717|138279487","7.000","2.000","7.000"
"138","scaffold0001:138555281|138563990","2.000","1.000","1.000"
"139","scaffold0001:138563207|138563990","2.000","13.000","2.000"
"140","scaffold0001:138721564|138727145","4.000","5.000","17.000"
"141","scaffold0001:138725831|138727145","3.000","2.000","3.000"
"142","scaffold0001:138733646|138736090","3.000","10.000","9.000"
"143","scaffold0001:1388250|1395817","3.000","28.000","4.000"
"144","scaffold0001:138949014|138954826","10.000","8.000","8.000"
"145","scaffold0001:138949014|138964352","3.000","13.000","8.000"
"146","scaffold0001:138974187|138974965","14.000","8.000","19.000"
"147","scaffold0001:139016258|139026238","142.000","180.000","112.000"
"148","scaffold0001:139230664|139232049","2.000","3.000","5.000"
"149","scaffold0001:139286926|139288245","12.000","3.000","7.000"
"150","scaffold0001:139576583|139588791","3.000","1.000","3.000"
"151","scaffold0001:139913436|139915083","4.000","1.000","1.000"
"152","scaffold0001:140091276|140103308","2.000","4.000","3.000"
"153","scaffold0001:140238285|140243408","13.000","1.000","15.000"
"154","scaffold0001:140365548|140381596","5.000","6.000","2.000"
"155","scaffold0001:140780535|140966543","1.000","1.000","3.000"
"156","scaffold0001:141278416|141313879","3.000","3.000","6.000"
"157","scaffold0001:142311025|142311285","15.000","25.000","17.000"
"158","scaffold0001:144239970|144271731","1.000","1.000","1.000"
"159","scaffold0001:144243189|144261504","40.000","38.000","2.000"
"160","scaffold0001:144247347|144261504","9.000","1.000","6.000"
"161","scaffold0001:144261396|144271731","4.000","13.000","10.000"
"162","scaffold0001:146613406|146633487","3.000","3.000","3.000"
"163","scaffold0001:146627267|146633487","4.000","2.000","1.000"
"164","scaffold0001:147440401|147443061","3.000","8.000","7.000"
"165","scaffold0001:147785873|147787862","8.000","20.000","32.000"
"166","scaffold0001:147791740|147793445","14.000","27.000","10.000"
"167","scaffold0001:148976133|148977455","10.000","7.000","4.000"
"168","scaffold0001:149321249|149353900","5.000","3.000","6.000"
"169","scaffold0001:149556616|149557010","87.000","60.000","27.000"
"170","scaffold0001:149664633|149669297","3.000","3.000","6.000"
