"","circ_id","mma1","mma2","mma3"
"152","1:189267111|189269960",22,NA,NA
"153","1:189618140|189623668",6,NA,NA
"154","1:189651167|189651335",4,NA,NA
"155","1:191347354|191347720",11,NA,NA
"156","1:191689301|191690859",21,NA,NA
"157","1:191689301|191695051",NA,92,NA
"158","1:192440722|192441082",6,NA,NA
"159","1:193222662|193223166",7,NA,NA
"160","1:193226284|193227476",4,NA,NA
"161","1:193680713|193687414",5,NA,30
"162","1:193680713|193697049",NA,6,NA
"163","1:193707999|193716738",3,NA,NA
"164","1:19526995|19542957",3,NA,NA
"165","1:19540027|19542957",4,NA,NA
"166","1:195527626|195534066",6,NA,NA
"167","1:195566145|195582943",6,NA,NA
"168","1:195566145|195584604",5,NA,NA
"169","1:195582814|195584604",4,NA,NA
"170","1:195582814|195618677",NA,NA,46
"171","1:195664285|195698567",6,NA,NA
"172","1:195942631|195944215",13,NA,41
"173","1:1961560|1964149",7,NA,NA
"174","1:196206343|196221870",3,NA,NA
"175","1:196221716|196229684",16,46,NA
"176","1:196226326|196229684",3,NA,NA
"177","1:196229086|196229684",2,NA,NA
"178","1:196237315|196246704",2,NA,NA
"179","1:196674070|196698410",4,NA,NA
"180","1:196967989|196975238",3,NA,NA
"181","1:197109725|197109971",NA,28,NA
"182","1:197307339|197321439",9,NA,NA
"183","1:197323651|197326674",3,NA,NA
"184","1:197328345|197328777",11,NA,NA
"185","1:197627748|197641353",10,NA,NA
"186","1:197634180|197641353",11,NA,NA
"187","1:198033058|198036180",9,30,141
"188","1:198034286|198034457",NA,NA,48
"189","1:198334211|198336144",2,NA,NA
"190","1:198533715|198538641",2,NA,NA
"191","1:198549359|198556103",NA,24,NA
"192","1:198766054|198766560",NA,35,32
"193","1:198975367|198975894",8,NA,NA
"194","1:200066649|200066866",NA,NA,27
"195","1:201352694|201353456",NA,NA,27
"196","1:201727466|201736663",15,NA,NA
"197","1:201727466|201756911",2,71,55
"198","1:203018950|203022387",2,NA,NA
"199","1:203710088|203713967",NA,NA,26
"200","1:203712359|203745740",10,NA,NA
"201","1:203712359|203766575",3,NA,NA
"202","1:203733632|203734534",4,14,NA
"203","1:203733632|203745740",NA,43,24
"204","1:203766466|203775405",6,NA,NA
"205","1:203766469|203775405",4,NA,NA
"206","1:203851244|203883398",6,NA,NA
"207","1:203930079|203955250",3,NA,NA
"208","1:203937254|203955250",5,NA,NA
"209","1:203962719|203962879",3,NA,NA
"210","1:204061415|204061900",113,NA,16
"211","1:204069478|204070720",6,NA,NA
"212","1:204106620|204106768",12,NA,NA
"213","1:205519930|205546463",6,NA,NA
"214","1:205548026|205550203",NA,NA,33
"215","1:205813877|205815287",7,NA,NA
"216","1:2085707|2091882",NA,26,NA
"217","1:208839914|208840785",7,NA,NA
"218","1:208862383|208869035",NA,NA,37
"219","1:208867370|208869035",2,NA,NA
"220","1:208900898|208904753",NA,NA,30
"221","1:209018992|209021850",NA,NA,13
"222","1:209145693|209163263",4,NA,NA
"223","1:209152494|209166352",9,NA,NA
"224","1:209467057|209491055",2,NA,NA
"225","1:211030457|211046352",5,NA,NA
"226","1:211097655|211097989",4,NA,NA
"227","1:211138421|211148153",11,42,34
"228","1:211140228|211140441",2,NA,NA
"229","1:211172616|211194439",9,NA,NA
"230","1:2119314|2120627",4,NA,NA
"231","1:2119314|2140639",10,NA,NA
"232","1:212062551|212063624",NA,NA,12
"233","1:212062551|212086281",6,NA,NA
"234","1:212128126|212134014",NA,NA,62
"235","1:212182145|212202647",NA,NA,18
"236","1:2122455|2140639",NA,NA,66
"237","1:212257656|212261963",4,NA,NA
"238","1:212461586|212464708",6,NA,NA
"239","1:214092601|214096199",NA,NA,21
"240","1:214111744|214119642",6,NA,NA
"241","1:214114839|214119642",3,NA,NA
"242","1:2141249|2150725",11,NA,NA
"243","1:214135737|214136755",6,NA,NA
"244","1:214140817|214169386",4,NA,NA
"245","1:214164199|214170349",NA,16,NA
"246","1:214310373|214324807",NA,NA,16
"247","1:214318065|214324807",12,NA,NA
"248","1:214534646|214538279",NA,NA,17
"249","1:214753141|214753368",NA,NA,54
"250","1:214756430|214756526",NA,4,NA
"251","1:2158100|2159925",2,NA,NA
"252","1:215862152|215862621",3,2,NA
"253","1:215904332|215978414",9,NA,NA
"254","1:215962967|215978414",3,NA,NA
"255","1:215962967|216024678",10,NA,NA
"256","1:220645897|220649781",4,NA,NA
"257","1:221809977|221810171",10,NA,NA
"258","1:222237211|222243206",8,NA,NA
"259","1:222607054|222616589",5,NA,NA
"260","1:222616482|222628995",8,38,46
"261","1:222616482|222643738",NA,52,NA
"262","1:222671265|222680696",5,NA,NA
"263","1:222711168|222722938",6,NA,NA
"264","1:223166814|223168839",NA,NA,40
"265","1:23134950|23135105",2,NA,NA
"266","1:23382803|23383926",10,56,NA
"267","1:2473228|2473658",NA,NA,22
"268","1:24737295|24749726",7,NA,NA
"269","1:2517871|2518825",2,NA,NA
"270","1:25388948|25395765",11,NA,NA
"271","1:25645687|25651513",3,NA,NA
"272","1:2739481|2753580",NA,27,NA
"273","1:28854661|28864263",8,NA,NA
"274","1:28866799|28891642",3,NA,NA
"275","1:28887941|28888088",10,NA,NA
"276","1:28887986|28888220",4,NA,NA
"277","1:29341297|29356667",11,NA,NA
"278","1:30695788|30712105",NA,24,NA
"279","1:31253323|31266963",6,NA,NA
"280","1:31295966|31296348",6,NA,NA
"281","1:3324505|3326013",NA,60,NA
"282","1:33338220|33342615",3,NA,NA
"283","1:33338220|33391747",8,NA,NA
"284","1:3446524|3490222",10,NA,NA
"285","1:36323228|36324912",6,NA,NA
"286","1:36334777|36336826",4,NA,NA
"287","1:37096948|37098268",NA,49,NA
"288","1:37222210|37254939",4,NA,19
"289","1:37222210|37300910",5,NA,NA
"290","1:37294464|37302474",2,NA,NA
"291","1:37402507|37402769",7,NA,NA
"292","1:37595323|37627945",3,NA,NA
"293","1:40129405|40130796",NA,30,NA
"294","1:41967064|41972291",4,NA,NA
